Alert,Object,Node
Tower Alert -- Cell Site Battery On Discharge --CS11A-SBOSS1-INT,Battery On Discharge,CS11A-SBOSS1-INT
5.93E+14,test,test2
Tower Alert -- Propane Level below 200 Gal. -CS18A-SBOSS1-INT,Propane Level,CS18A-SBOSS1-INT
*,*,1456_AAR_TOWER.is-u.jrtc.army.mil
*,*,1560_DNOC.is-u.jrtc.army.mil
*,*,1560_P5.is-u.jrtc.army.mil
*,*,1560_SOC.is-u.jrtc.army.mil
*,*,1560-1_CORE.is-u.jrtc.army.mil
*,*,1560-2_CORE.is-u.jrtc.army.mil
*,*,1631_APOD.is-u.jrtc.army.mil
*,*,7474_ACS.is-u.jrtc.army.mil
*,*,7474_SOCOM.is-u.jrtc.army.mil
*,*,7525A_GBASE.is-u.jrtc.army.mil
*,*,7679_AAR3_BOTTOM.is-u.jrtc.army.mil
*,*,7679_AAR3_TOP.is-u.jrtc.army.mil
*,*,7679_ACS_VAULT.is-u.jrtc.army.mil
*,*,7679_BSC_TOWER.is-u.jrtc.army.mil
*,*,7841_VIDEO.is-u.jrtc.army.mil
*,*,8624_NEST.is-u.jrtc.army.mil
*,*,CACTF_DARALAM.is-u.jrtc.army.mil
*,*,CEMETARY_13_TOWER.is-u.jrtc.army.mil
*,*,CM13_FIBER_SW.is-u.jrtc.army.mil
*,*,MILLCREEK_ACS.is-u.jrtc.army.mil
*,*,MILLCREEK_TOWER.is-u.jrtc.army.mil
*,*,MOUT_TOWER.is-u.jrtc.army.mil
*,*,OCHILL_ACS.is-u.jrtc.army.mil
*,*,OPFOR_17_PAO_BLDG_7212.is-u.jrtc.army.mil
*,*,PEASON_EAST_ACS.jrtc.black
*,*,PEASON_EAST_TOWER.is-u.jrtc.army.mil
*,*,PEASON_LIVEFIRE_TOC.is-u.jrtc.army.mil
*,*,PEASON_WEST_TOWER.is-u.jrtc.army.mil
*,*,PEHA.is-u.jrtc.army.mil
*,*,RANCHO_45_TOWER.is-u.jrtc.army.mil
*,*,SITE_11_ARTILLERY_BIRD_CREEK.is-u.jrtc.army.mil
*,*,SITE_12_OFFICERS_CLUB.is-u.jrtc.army.mil
*,*,SITE_13_OC_HILL.is-u.jrtc.army.mil
*,*,SITE_16_FULLERTON.is-u.jrtc.army.mil
*,*,SITE_17_SIX_MILE_CREEK.is-u.jrtc.army.mil
*,*,SITE_35_FORESTRY_RD.is-u.jrtc.army.mil
*,*,SITE_6_LOOKOUT_RD.is-u.jrtc.army.mil
*,*,SOUTH_TOWER.is-u.jrtc.army.mil
*,*,S-LCTIA4-101
*,*,S-LCTIA4-102
*,*,S-LCTIA4-103
*,*,S-LCTIA4-104
*,*,S-LCTIA4-105
*,*,S-LCTIA4-106
*,*,S-LCTIA4-107
*,*,S-LCTIA4-108
*,*,S-LCTIA4-109
*,*,S-LCTIA4-110
*,*,S-LCTIA4-111
*,*,S-LCTIA4-112
*,*,S-LCTIA4-113
*,*,S-LCTIA4-114
*,*,S-LCTIA4-115
*,*,S-LCTIA4-116
*,*,S-LCTIA4-117
