"AlertObjectID","AlertID","EntityCaption","EntityDetailsUrl","RelatedNodeCaption","RelatedNodeDetailsUrl","TriggeredCount","LastTriggeredDateTime","AlertNote"
"524","112","D-LPGSQLPB-102","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:52","D-LPGSQLPB-102","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:52","48","3/15/2023 3:54:25 PM","To be decommissioned"
"530","112","D-LPGSQLCS-102","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:50","D-LPGSQLCS-102","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:50","31","3/15/2023 3:54:25 PM","To be decommissioned"
"1041","242","DC Controller","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:145","CS009-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:145","32","5/6/2023 12:11:13 PM","No active alarm on Siteboss.  Reviewed log history and do not see a triggered alert for the DC controller.  Will continue to monitor and outside plant is tracking.  01 Dec. 2021
No active alarm on Siteboss.  Reviewed log history and do not see a triggered alert for the DC controller.  Will continue to monitor and outside plant is tracking.  01 Dec. 2021
No active alarm on Siteboss.  Reviewed log history and do not see a triggered alert for the DC controller.  Will continue to monitor and outside plant is tracking.  18 Jan. 2022
Reported to Edwin, tracking. 
Outside plant is tracking
No active alarm on Siteboss.  Reviewed log history and do not see a triggered alert for the DC controller.
No active alerts observed on Siteboss - 7July2022
No active alerts observed on Siteboss.  Outside plant is tracking.  16 Sept. 2022
No active alerts observed on Siteboss.  Outside plant is tracking
No active alerts observed on Siteboss.  Outside plant is tracking
No active alerts observed on Siteboss.  03 Feb. 2023"
"1043","244","BAT DISC Breaker","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:104","CS11A-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:104","40","5/2/2023 4:35:11 PM","Site boss alert is enabled and alarm status is closed.  Will continue to monitor.
Site boss alert is enabled and alarm status is closed.  Will continue to monitor.
Site boss alert is enabled and alarm status is closed.  Will continue to monitor.  01 Dec. 2021
False positive reading.  Outside plant is tracking
Outside plant is tracking
Site boss alert is enabled and alarm status is closed.  Will continue to monitor.
Outside plant is tracking site boss alert is enabled and alarm status is closed.
Outside plant is tracking site boss alert is normal, not active in logs, and status is green.  ATS Main Power 118.6 V. 11 May 2022
No active alert for Battery Disconnect.  Reviewed logs and no triggers alarms or messages.  
No active alert for Battery Disconnect"
"1211","125","SITE-27-MAIN-SWITCH","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:169","SITE-27-MAIN-SWITCH","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:169","48","4/14/2023 7:34:04 PM","Gi1/0/7 up up 10M Fronthaul
restarted switch for IA IOS update
Gi1/0/7 up up 10M Fronthaul
Gi1/0/7 up up 10M Fronthaul
Fronthaul is back up
Gi1/0/7 up up 10M Fronthaul
Fronthaul is back up
Gi1/0/7 up up 10M Fronthaul 13 May 2022
Fronthaul is back up
Gi1/0/7 up up 10M Fronthaul 03 June 2022
Fronthaul is back up
Gi1/0/7 up up 10M Fronthaul 22 June 2022
Gi1/0/7 up up 10M Fronthaul 03 Aug. 2022
Gi1/0/7 up up 10M Fronthaul 03 Aug. 2022
GigabitEthernet1/0/7, changed state to up 17 AUG 2022
GigabitEthernet1/0/7, changed state to up, 17 AUG 2022 - 1745
GigabitEthernet1/0/7, changed state to up, BGP neighbor is up.  29 AUG 202
Gi1/0/7 up up
GigabitEthernet1/0/7, changed state to up, BGP neighbor is up.  8 Nov. 202
Gi1/0/7 up up
GigabitEthernet1/0/7, changed state to up, BGP neighbor is up.  04 Jan. 2023
Gi1/0/7 up up
GigabitEthernet1/0/7, changed state to up, BGP neighbor is up.  16 Feb. 2023
Gi1/0/7 up up
GigabitEthernet1/0/7, changed state to up, BGP neighbor is up.  10 April  2023"
"1371","242","DC Controller","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:104","CS11A-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:104","12","5/2/2023 4:35:13 PM","False Positive alert identified by outside plant.  
False Positive alert identified by outside plant.  18 Nov. 2022"
"1405","210","Rack #2 DC Power A","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:131","CS02A-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:131","66","5/5/2023 5:40:30 AM","Outside plant tested rack power. Switched of rack B and rack A held power.   Alert is a false positive.  
Outside plant tested rack power. Switched of rack B and rack A held power.   Alert is a false positive.  
Outside plant tested rack power. Switched of rack B and rack A held power.   Alert is a false positive. 
Outside plant tested rack power. Switched of rack B and rack A held power.   Alert is a false positive.  LED will not illuminate.  Outside plant is tracking
Reported to Edwin, tracking. 
Outside plant is tracking
No active alerts observed on Siteboss - 7July2022
No active alerts observed on Siteboss - 29 Aug 2022
No active alerts observed on Siteboss or notifications in logs - 19 Sept. 2022
No active alerts.  Outside plant is tracking
No active alerts.  Outside plant is tracking
No active alerts.  Outside plant is tracking
No active alerts.  Outside plant is tracking
Outside plant is tracking false positive alert.  12 Jan. 2023"
"1588","161","Low Temperature","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:159","CS045-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:159","11","5/15/2023 11:20:27 AM","Indoor temp reading is @ 64 degrees. The Event Sensor Low alert is set to 50 degrees. Event Sensor 7 is green on the site boss. The Low Temp alert is from the 64C card. Notified outside plant.
Indoor temp reading is @ 64 degrees. The Event Sensor Low alert is set to 50 degrees. Event Sensor 7 is green on the site boss. The Low Temp alert is from the 64C card. Notified outside plant.
Indoor temp reading is @ 69 degrees. The Event Sensor Low alert is set to 40 degrees. Event Sensor is green on the site boss. Will continue to monitor. 18 Jan. 2022
Indoor temp reading is @ 71 degrees. The Event Sensor Low alert is set to 40 degrees. Event Sensor is green on the site boss. Will continue to monitor and notify outside plant. 18 May 2022
Indoor temp reading is @ 69 degrees. The Event Sensor Low alert is set to 40 degrees. Event Sensor is green on the site boss. Will continue to monitor and notify outside plant. 11 July 2022
Indoor temp reading is @ 70 degrees. The Event Sensor Low alert is set to 40 degrees. Event Sensor is green on the site boss. Will continue to monitor and notify outside plant. 21 Aug. 2022
Indoor temp reading is @ 67 degrees. The Event Sensor Low alert is set to 40 degrees. Event Sensor is green on the site boss. Will continue to monitor and notify outside plant. 15 May 2023"
"1589","229","Low Temperature","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:159","CS045-SBOSS1-INT","/Orion/NetPerfMon/NodeDetails.aspx?NetObject=N:159","11","5/15/2023 11:20:29 AM","Indoor temp reading is @ 64 degrees. The Event Sensor Low alert is set to 50 degrees. Event Sensor 7 is green on the site boss. The Low Temp alert is from the 64C card. Notified outside plant.
Indoor temp reading is @ 69 degrees. The Event Sensor Low alert is set to 40 degrees. Event Sensor is green on the site boss. Will continue to monitor.
Indoor temp reading is @ 69 degrees. The Event Sensor Low alert is set to 40 degrees. Event Sensor is green on the site boss. Will continue to monitor. 01 Dec. 2021
Indoor temp reading is @ 69 degrees. The Event Sensor Low alert is set to 40 degrees. Event Sensor is green on the site boss. Will continue to monitor. 18 Jan. 2022
Indoor temp reading is @ 71 degrees. The Event Sensor Low alert is set to 40 degrees. Event Sensor is green on the site boss. Will continue to monitor and notify outside plant. 18 May 2022
Indoor temp reading is @ 69 degrees. The Event Sensor Low alert is set to 40 degrees. Event Sensor is green on the site boss. Will continue to monitor and notify outside plant. 11 July 2022
Indoor temp reading is @ 70 degrees. The Event Sensor Low alert is set to 40 degrees. Event Sensor is green on the site boss. Will continue to monitor and notify outside plant. 21 Aug. 2022
Indoor temp reading is @ 67 degrees. The Event Sensor Low alert is set to 40 degrees. Event Sensor is green on the site boss. Will continue to monitor and notify outside plant. 15 May 2023"
"1945","129","SAM Components","","","","1","5/24/2022 6:33:45 PM",""
