"Date","Site","Alarm","Severity","Status"
"5/18/2023 8:52:58 AM","44","Battery On Discharge","Info","Battery Charging"
"5/18/2023 8:52:47 AM","44","Battery On Discharge","Info","Site On Battery Power"
"5/18/2023 8:51:18 AM","26","Door Sensor","Info","Door Closed"
"5/18/2023 8:51:11 AM","26","Door Sensor","Minor","Door Open"
"5/18/2023 8:50:03 AM","26","Door Sensor","Info","Door Closed"
"5/18/2023 8:49:59 AM","26","Door Sensor","Minor","Door Open"
"5/18/2023 8:49:45 AM","1","INVERTER MINOR ALARM","Major","Inverter Minor Alarm (Reminder)"
"5/18/2023 8:19:45 AM","44","Battery On Discharge","Info","Battery Charging"
"5/18/2023 8:19:37 AM","44","Battery On Discharge","Info","Site On Battery Power"
"5/18/2023 8:10:49 AM","4","ATS Closed Transition In Phase Degree Delta","Info","Normal"
"5/18/2023 8:10:48 AM","41","ATS Closed Transition In Phase Degree Delta","Info","Normal"
"5/18/2023 8:10:47 AM","41","PS AC SURGE ALARM (TVSS)","Info","INACTIVE"
"5/18/2023 8:10:41 AM","4","ATS Closed Transition In Phase Degree Delta","Info","Very High"
"5/18/2023 8:10:37 AM","41","ATS Closed Transition In Phase Degree Delta","Info","Very High"
"5/18/2023 8:10:01 AM","10","ATS Closed Transition In Phase Degree Delta","Info","Normal"
"5/18/2023 8:09:53 AM","10","ATS Closed Transition In Phase Degree Delta","Info","Very High"
"5/18/2023 8:09:38 AM","4","ATS Closed Transition In Phase Degree Delta","Info","Normal"
"5/18/2023 8:09:35 AM","10","ATS Closed Transition In Phase Degree Delta","Info","Normal"
"5/18/2023 8:09:25 AM","10","ATS Closed Transition In Phase Degree Delta","Info","High"
"5/18/2023 8:09:21 AM","4","ATS Closed Transition In Phase Degree Delta","Info","Very High"
"5/18/2023 8:09:12 AM","4","ATS Closed Transition In Phase Degree Delta","Info","High"
"5/18/2023 8:09:00 AM","10","ATS Closed Transition In Phase Degree Delta","Info","Normal"
"5/18/2023 8:08:51 AM","10","ATS Closed Transition In Phase Degree Delta","Info","Very High"
"5/18/2023 8:08:37 AM","4","ATS Closed Transition In Phase Degree Delta","Info","Normal"
"5/18/2023 8:08:29 AM","41","ATS Closed Transition In Phase Degree Delta","Info","Normal"
"5/18/2023 8:08:28 AM","4","ATS Closed Transition In Phase Degree Delta","Info","High"
"5/18/2023 8:08:21 AM","41","ATS Closed Transition In Phase Degree Delta","Info","Very High"
"5/18/2023 8:08:12 AM","4","ATS Closed Transition In Phase Degree Delta","Info","Normal"
"5/18/2023 8:07:55 AM","4","ATS Closed Transition In Phase Degree Delta","Info","Very High"
"5/18/2023 8:07:53 AM","41","ATS Closed Transition In Phase Degree Delta","Info","Normal"
"5/18/2023 8:07:45 AM","41","ATS Closed Transition In Phase Degree Delta","Info","Very High"
"5/18/2023 8:07:31 AM","10","ATS Closed Transition In Phase Degree Delta","Info","Normal"
